title,url,type,date,views,main,additional,rating,comment
Python и R: что выбрать для Data Science в 2018?,https://proglib.io/p/python-vs-r,перевод,2018-01-16,,Data Science,"Python, R",3,
Создаем бота в Facebook на Python менее чем за 60 минут,https://proglib.io/p/facebook-bot-with-python,перевод,2018-01-11,,Python,Facebook,3,
Двойные фамилии,https://proglib.io/p/zadacha-o-dvoynyh-familiyah-2020-01-11,головоломка,2020-01-11,,Головоломка,,5,
Спрятанное решение,https://proglib.io/p/zadacha-o-spryatannom-reshenii-2020-01-11,головоломка,2020-01-11,,Головоломка,,5,
Остров хамелеонов,https://proglib.io/p/zadacha-ob-ostrove-hameleonov-2020-01-13,головоломка,2020-01-13,,Головоломка,,5,
Номер Тьюринга,https://proglib.io/p/zadacha-o-familii-tyuringa-2020-01-14,головоломка,2020-01-14,,Головоломка,,5,
Время великих учёных,https://proglib.io/p/zadacha-s-sobesedovaniya-idei-proekta-vremya-velikih-uchenyh-2020-01-15,головоломка,2020-01-15,,Головоломка,,5,
Прогуливающиеся джентльмены,https://proglib.io/p/zadacha-o-progulivayushchihsya-dzhentlmenah-2020-01-18,головоломка,2020-01-18,,Головоломка,,5,
Часы с одинаковыми стрелками,https://proglib.io/p/zadacha-o-chasah-s-odinakovymi-strelkami-2020-01-22,головоломка,2020-01-22,,Головоломка,,5,
Вирус в колонии бактерий,https://proglib.io/p/zadacha-o-viruse-v-kolonii-bakteriy-2020-01-25,головоломка,2020-01-25,,Головоломка,,5,
Шесть шахматных коней,https://proglib.io/p/zadacha-o-shesti-shahmatnyh-konyah-2020-01-29,головоломка,2020-01-29,,Головоломка,,5,
Задача о беглец,https://proglib.io/p/zadacha-o-beglece-2020-02-01,головоломка,2020-02-01,,Головоломка,,5,
Чеширский кот и число палиндромов,https://proglib.io/p/zagadka-cheshirskogo-kota-o-chisle-palindromov-2020-02-05,головоломка,2020-02-05,,Головоломка,,5,
