title,url,emoji,source,jupyter,colab,type,date,views,main,additional,rating,comment
Обучение модели обнаружения объектов YOLO на пользовательском наборе данных,https://proglib.io/p/obuchenie-modeli-obnaruzheniya-obektov-yolo-na-polzovatelskom-nabore-dannyh-2020-01-21,👁️,https://towardsdatascience.com/training-a-yolov3-object-detection-model-with-a-custom-dataset-4981fa480af0,,,перевод,2020-01-21,2390.0,Глубокое обучение,,3.0,
7 лучших видео TED по тематике Data Science,https://proglib.io/p/7-luchshih-video-ted-po-tematike-data-science-2020-01-20,▶️,https://towardsdatascience.com/best-ted-talks-for-data-science-11b699544f,,,подборка,2020-01-20,5570.0,Data Science,видео,3.0,
"Опыт разработки: почему мы пишем инфраструктуру машинного обучения на Go, а не на Python",https://proglib.io/p/opyt-razrabotki-pochemu-my-pishem-infrastrukturu-mashinnogo-obucheniya-na-go-a-ne-na-python-2020-01-15,,https://towardsdatascience.com/why-were-writing-machine-learning-infrastructure-in-go-not-python-38d6a37e2d76,,,перевод,2020-01-15,5636.0,Data Science,"Go, Python",3.0,
Анализируй данные с помощью одной строки на Python,https://proglib.io/p/analiziruy-dannye-s-pomoshchyu-odnoy-stroki-koda-na-python-2019-10-02,📊,https://towardsdatascience.com/exploring-your-data-with-just-1-line-of-python-4b35ce21a82d,,,перевод,2019-10-02,64620.0,Data Science,Python,5.0,
Big Data: размер имеет значение,https://proglib.io/p/big-data-razmer-imeet-znachenie-2019-10-19,,,,,перевод,2019-10-19,5314.0,Data Science,,3.0,
7 фреймворков автоматического машинного обучения,https://proglib.io/p/auto-ml,🔗,,,,перевод,2019-08-08,9920.0,Data Science,AutoML,3.0,
Встречайте: версия 4.0 графической библиотеки plotly для Python,https://proglib.io/p/plotly-4,🗞️,,,,перевод,2019-07-30,38907.0,Data Science,Plotly,3.0,
Забудьте о matplotlib: визуализация данных в Python вместе с plotly,https://proglib.io/p/plotly,📊,https://towardsdatascience.com/the-next-level-of-data-visualization-in-python-dd6e99039d5e,,,перевод,2019-01-26,53133.0,Data Science,Plotly,3.0,
Теорема Байеса: Святой Грааль Data Science,https://proglib.io/p/bayes-theorem,➗,https://towardsdatascience.com/bayes-theorem-the-holy-grail-of-data-science-55d93315defb,,,перевод,2019-01-15,81490.0,Data Science,математика,3.0,
Jupyter Notebook: галерея блокнотов по ML и Data Science,https://proglib.io/p/jupyter-notebook-best,🌟,https://github.com/jupyter/jupyter/wiki/A-gallery-of-interesting-Jupyter-Notebooks,,,перевод,2018-12-01,25064.0,Data Science,Jupyter,5.0,
Искусственный интеллект и рост вычислительных мощностей,https://proglib.io/p/ai-and-compute,,https://blog.openai.com/ai-and-compute/,,,перевод,2018-06-14,5702.0,Data Science,,3.0,
Мнения людей из индустрии Data Science о развитии отрасли,https://proglib.io/p/data-science-dialogues,▶️,,,,статья,2018-06-04,12771.0,Data Science,мнения,4.0,
ТОП-10 мировых публикаций по машинному обучению за апрель 2018,https://proglib.io/p/ml-april-2018,,https://github.com/Mybridge/machine-learning-articles,,,перевод,2018-05-30,9994.0,Data Science,,3.0,
10 рецептов машинного обучения от разработчиков Google,https://proglib.io/p/google-ml-recipes,▶️,,,,перевод,2018-05-19,90325.0,Data Science,Google,3.0,
JupyterLab и Jupyter Notebook — мощные инструменты Data Scienc,https://proglib.io/p/jupyter-notebook-best,🌟,https://github.com/jupyter/jupyter/wiki/A-gallery-of-interesting-Jupyter-Notebooks,,,статья,2018-12-01,25064.0,Data Science,,4.0,
От новичка до профи в машинном обучении за 3 месяца,https://proglib.io/p/ml-3months,👨‍🎓️,,,,подборка,2018-03-09,122080.0,Data Science,,5.0,
Стартап в сфере искусственного интеллекта в 2018,https://proglib.io/p/ai-startup,,https://www.youtube.com/watch?v=9bbS-trc8ys,,,перевод,2018-03-02,12785.0,Data Science,,3.0,
Трейдинг и машинное обучение с подкреплением,https://proglib.io/p/trade-learning,📈,http://www.wildml.com/2018/02/introduction-to-learning-to-trade-with-reinforcement-learning/,,,перевод,2018-02-15,33815.0,Data Science,,3.0,
Python и R: что выбрать для Data Science в 2018?,https://proglib.io/p/python-vs-r,,,,,перевод,2018-01-16,31370.0,Data Science,"Python, R",3.0,
Создаем бота в Facebook на Python менее чем за 60 минут,https://proglib.io/p/facebook-bot-with-python,🤖,https://www.twilio.com/blog/2017/12/facebook-messenger-bot-python.html,,,перевод,2018-01-11,26208.0,Python,Facebook,3.0,
Двойные фамилии,https://proglib.io/p/zadacha-o-dvoynyh-familiyah-2020-01-11,,,,,головоломка,2020-01-11,3032.0,Головоломка,,5.0,
Спрятанное решение,https://proglib.io/p/zadacha-o-spryatannom-reshenii-2020-01-11,,,,,головоломка,2020-01-11,5281.0,Головоломка,,5.0,
Остров хамелеонов,https://proglib.io/p/zadacha-ob-ostrove-hameleonov-2020-01-13,,,,,головоломка,2020-01-13,1685.0,Головоломка,,5.0,
Номер Тьюринга,https://proglib.io/p/zadacha-o-familii-tyuringa-2020-01-14,,,,,головоломка,2020-01-14,1867.0,Головоломка,,5.0,
Время великих учёных,https://proglib.io/p/zadacha-s-sobesedovaniya-idei-proekta-vremya-velikih-uchenyh-2020-01-15,,,,,головоломка,2020-01-15,1718.0,Головоломка,,5.0,
Прогуливающиеся джентльмены,https://proglib.io/p/zadacha-o-progulivayushchihsya-dzhentlmenah-2020-01-18,,,,,головоломка,2020-01-18,1849.0,Головоломка,,5.0,
Часы с одинаковыми стрелками,https://proglib.io/p/zadacha-o-chasah-s-odinakovymi-strelkami-2020-01-22,,,,,головоломка,2020-01-22,3204.0,Головоломка,,5.0,
Вирус в колонии бактерий,https://proglib.io/p/zadacha-o-viruse-v-kolonii-bakteriy-2020-01-25,,,,,головоломка,2020-01-25,2440.0,Головоломка,,5.0,
Шесть шахматных коней,https://proglib.io/p/zadacha-o-shesti-shahmatnyh-konyah-2020-01-29,,,,,головоломка,2020-01-29,2180.0,Головоломка,,5.0,
Задача о беглец,https://proglib.io/p/zadacha-o-beglece-2020-02-01,,,,,головоломка,2020-02-01,1299.0,Головоломка,,5.0,
